,0,1,166,332,498,664,830,996,1162,1328,1494,1660,1826,1992
D31_y,409.809,411.297,421.17,425.171,426.194,431.308,435.986,437.608,440.048,441.895,439.038,434.704,436.701,436.43
D32_x,219.341,228.288,226.69,217.694,211.475,205.627,202.085,200.767,196.785,191.89,190.53,192.519,186.921,180.804
D32_y,482.624,483.055,476.631,484.033,488.144,491.748,491.905,482.928,482.35,477.243,484.707,487.278,487.634,489.355
D33_x,393.961,394.047,401.266,404.109,408.827,414.163,419.954,425.179,430.436,432.409,437.517,444.679,448.807,453.722
D33_y,6.44628,6.40862,6.27786,4.93489,7.38685,10.6636,9.84141,12.0296,13.9256,14.5087,15.9206,18.1142,15.3561,8.95211
D34_x,387.406,387.49,394.318,403.768,410.677,417.512,423.437,429.234,436.886,438.59,438.058,443.064,448.344,455.698
D34_y,228.777,228.746,231.211,229.882,230.758,229.13,223.543,219.532,216.315,214.795,216.095,212.983,217.085,223.732
D35_x,337.114,328.136,321.991,325.048,321.591,320.832,319.445,316.587,324.453,322.909,324.512,326.741,332.098,328.908
D35_y,318.42,306.809,304.288,310.393,317.707,316.303,320.656,329.314,337.453,344.814,354.13,352.137,352.0,357.529
D36_x,490.596,490.157,487.206,486.548,490.059,494.069,495.1,494.952,493.963,494.408,495.1,495.1,493.798,487.764
D36_y,394.078,393.321,385.711,377.374,370.41,361.209,356.953,352.18,348.401,337.763,333.971,332.941,334.345,335.64
D37_x,470.361,470.316,471.654,475.797,479.032,482.417,485.908,488.674,491.417,495.098,491.877,489.911,489.569,493.802
D37_y,396.014,396.033,396.168,398.084,399.977,402.373,403.912,405.318,406.126,407.053,407.82,406.954,406.855,404.426
D38_x,208.112,201.953,190.063,193.157,179.488,191.72,204.058,231.093,229.664,224.285,216.617,208.294,202.106,194.304
D38_y,274.284,277.97,278.525,264.955,247.266,222.4,199.35,213.294,222.649,230.632,229.914,230.751,229.906,228.372
D39_x,246.18,244.111,236.429,235.918,226.652,224.192,266.824,278.876,279.175,276.92,289.281,296.043,299.292,307.302
D39_y,240.106,245.242,241.872,245.182,245.673,237.65,226.756,215.854,222.734,225.95,231.168,229.637,233.298,235.641
D40_x,243.473,243.495,233.228,225.616,228.849,233.394,230.539,237.286,234.014,227.1,224.606,214.313,209.462,203.972
D40_y,252.607,251.317,253.44,247.229,254.883,247.056,251.02,267.723,279.708,281.162,282.903,286.074,287.912,282.467
D41_x,92.3121,94.0095,99.2484,101.989,103.417,101.983,101.282,95.4371,91.4844,93.7495,102.455,109.089,114.228,109.768
D41_y,174.559,175.593,172.974,174.878,173.14,168.28,162.221,145.334,134.952,134.709,136.234,139.764,144.112,138.44
D42_x,385.223,383.11,382.727,389.907,399.735,401.974,404.322,403.454,396.846,389.451,382.691,378.327,349.162,336.686
D42_y,233.269,237.513,232.701,228.998,228.324,223.003,220.672,214.643,208.745,211.249,223.497,221.28,212.946,207.7
D43_x,428.972,428.927,429.085,426.447,422.932,422.301,422.517,420.649,419.136,417.484,414.209,415.07,425.64,430.641
D43_y,127.34,127.338,119.592,110.704,105.074,99.9399,93.2372,85.1947,80.273,75.4791,72.7265,70.9815,69.1518,66.922
D44_x,55.969,54.3989,51.6933,50.9118,48.3365,43.735,48.0884,48.9408,48.0538,42.4156,33.7354,40.6624,45.6024,55.5601
D44_y,302.645,298.961,295.245,284.932,279.174,276.474,273.751,273.605,268.141,266.819,263.875,256.503,252.042,254.777
D45_x,383.122,383.152,390.287,395.248,399.831,400.077,403.339,409.723,414.728,419.406,424.653,428.446,432.045,438.242
D45_y,465.393,465.459,465.464,468.188,473.008,475.726,477.968,476.31,472.413,474.744,478.445,482.984,484.954,487.962
D46_x,222.661,222.715,227.106,230.059,229.49,229.696,230.473,234.034,238.817,244.827,242.945,280.401,310.661,325.483
D46_y,27.0126,27.032,29.2435,32.8452,32.8202,29.6783,26.3906,23.0501,23.8037,24.3677,22.3671,24.1459,42.3593,47.8847
D47_x,115.414,114.336,122.697,126.266,119.091,112.091,106.465,114.537,123.799,133.295,141.723,154.05,162.878,171.366
D47_y,280.353,278.028,279.785,277.778,280.247,280.96,274.917,272.547,267.578,262.282,254.097,253.72,249.468,242.317
D48_x,490.029,490.038,493.115,492.77,489.534,484.198,484.788,485.395,482.864,477.825,470.991,462.643,454.86,450.988
D48_y,111.473,111.473,110.874,109.191,109.224,107.422,107.657,113.232,116.175,115.514,114.585,117.74,119.664,121.103
D49_x,55.4775,58.4144,65.1445,70.7642,73.3807,74.6461,74.3775,78.8105,83.9476,88.6898,84.5978,35.4337,37.1144,40.5915
D49_y,46.767,46.7854,43.2478,34.9185,28.5847,24.0761,17.3445,13.1334,5.32779,12.1737,13.008,6.29189,21.2511,25.1216
D50_x,26.6181,26.9251,23.7615,22.0889,29.9472,32.8338,31.0281,32.1557,29.2713,24.9648,15.1661,14.0079,12.697,6.74416
D50_y,98.5806,96.036,93.5878,93.5499,93.8079,92.6116,88.7869,94.5236,96.5176,96.0523,92.5465,97.0531,102.26,92.1195
D51_x,86.0199,88.5793,95.6591,83.7354,75.3829,82.8636,76.8153,73.1376,65.1881,56.7274,55.8692,46.9361,48.3553,46.3657
D51_y,409.952,408.149,385.983,355.45,374.487,368.899,367.521,362.283,358.434,355.967,354.081,349.772,345.089,342.321
D52_x,26.5226,27.7907,24.4144,20.4031,16.7309,13.7395,11.9415,13.7109,13.3814,14.7248,13.6219,8.61415,5.8389,5.29377
D52_y,8.06938,7.22662,13.0266,17.4287,23.4566,27.8938,35.4001,37.3913,33.5965,31.3881,28.245,27.2778,31.0405,26.5482
D53_x,20.7018,20.7612,21.5671,23.3262,24.8234,27.5987,27.4161,36.6829,46.5622,52.972,49.4311,44.6159,38.6772,41.3135
D53_y,249.682,249.688,245.375,245.612,247.565,249.727,252.469,250.553,251.886,252.088,252.777,248.225,236.045,235.984
D54_x,361.33,361.32,358.051,354.165,346.661,341.313,335.266,328.405,322.8,313.787,309.654,317.985,317.117,316.145
D54_y,428.253,428.28,426.909,424.845,423.041,424.323,426.605,426.425,421.628,418.815,412.208,422.869,428.073,430.455
D55_x,328.529,319.854,320.248,318.141,313.275,309.21,305.272,301.933,291.855,285.559,282.247,281.881,283.92,280.738
D55_y,394.403,393.561,393.129,394.486,405.164,404.963,410.35,413.825,420.85,423.079,430.459,427.912,430.304,434.329
D56_x,228.232,226.984,228.927,227.18,230.883,233.075,236.099,236.252,239.173,239.321,239.234,237.935,234.787,228.972
D56_y,462.892,463.501,464.041,473.52,470.879,470.112,469.001,466.788,463.601,462.548,459.829,455.395,449.256,449.634
D57_x,301.82,302.72,322.835,314.154,314.293,315.053,344.254,355.171,352.877,344.591,345.681,348.877,358.723,363.855
D57_y,231.234,229.049,228.817,234.069,222.475,220.262,192.878,184.154,192.271,209.439,200.405,190.014,197.348,195.685
D58_x,486.491,486.455,484.211,480.635,476.909,481.034,491.689,486.43,492.089,491.158,485.187,484.68,485.599,495.1
D58_y,476.806,476.822,479.424,483.671,487.58,485.51,488.953,491.053,494.033,488.353,485.967,483.918,476.43,471.824
D59_x,166.392,166.381,159.626,157.235,195.936,227.19,217.266,207.009,197.281,187.135,184.476,182.692,178.379,174.346
D59_y,382.256,382.309,361.314,331.234,294.963,293.564,302.374,303.765,307.093,308.141,315.696,321.964,331.019,333.945
D60_x,299.585,292.392,299.441,307.097,306.054,312.101,317.542,327.111,329.761,330.232,333.129,336.187,339.233,340.146
D60_y,461.99,461.585,468.597,473.067,472.941,474.216,478.673,476.429,470.396,466.332,466.905,468.527,470.317,473.889
D61_x,450.009,449.984,450.853,454.292,457.506,460.018,461.083,466.714,468.252,463.919,462.51,461.775,463.651,460.55
D61_y,187.458,187.484,188.983,190.259,190.147,189.036,189.046,193.028,194.036,199.711,200.651,198.191,194.885,189.693
D62_x,318.762,318.803,323.447,328.557,335.329,340.194,346.006,346.816,347.423,352.858,360.815,364.046,374.057,382.358
D62_y,17.9977,17.9542,11.3492,5.3144,6.36229,11.9753,13.5131,14.8323,16.1774,21.4726,26.2252,29.9726,25.451,23.4214
D63_x,16.3001,16.3159,22.1038,27.0862,28.3635,23.9384,29.2738,35.0052,36.2852,42.5039,45.1303,18.8771,26.2505,44.8107
D63_y,62.4022,62.3824,57.0502,52.2309,48.9881,41.4669,36.3971,32.7125,29.9135,23.8466,16.8271,7.0651,4.9,4.9
D64_x,21.6442,21.6768,19.662,14.6992,14.7676,19.5848,21.3395,15.3432,12.894,12.5118,14.244,17.2622,15.4359,13.705
D64_y,143.427,143.337,136.271,133.096,133.857,130.643,126.624,128.433,128.262,134.44,136.696,137.521,146.969,150.123
D65_x,213.145,213.403,223.589,241.566,248.859,255.02,256.737,261.089,258.663,252.588,245.833,243.15,237.877,233.764
D65_y,397.103,396.073,401.806,417.52,426.758,422.213,426.093,424.42,426.39,428.268,429.704,426.818,419.414,422.897
D66_x,288.263,288.258,286.388,280.209,277.635,269.79,261.184,267.03,268.224,271.819,278.241,296.943,318.763,318.801
