full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.855,241,241,241,241,284.951,480.284,284.916,479.86,284.916,479.86,284.916,479.86,0.863,0.863,0.838,0.863,0.855,0.85,0,0,0,0
0.854,532,532,532,532,449.81,329.191,452.668,326.32,453.794,327.179,453.907,327.276,0.863,0.832,0.866,0.848,0.854,0.849,0,0,0,0
0.854,5035,5035,5035,5035,183.145,478.464,182.139,484.176,178.988,484.274,179.03,483.026,0.755,0.879,0.929,0.817,0.854,0.904,0,0,0,0
0.853,3831,3831,3831,3831,280.026,48.226,280.026,48.226,281.628,48.268,294.151,48.34,0.913,0.832,0.815,0.872,0.853,0.824,0,0,0,0
0.853,4184,4184,4184,4184,302.682,435.325,303.002,433.656,302.909,432.726,302.879,432.594,0.927,0.749,0.883,0.838,0.853,0.816,0,0,0,0
0.853,3946,3946,3946,3946,412.314,276.669,412.65,271.841,414.942,272.874,417.609,270.67,0.822,0.824,0.913,0.823,0.853,0.869,0,0,0,0
0.852,712,712,712,712,71.714,109.713,71.067,115.507,72.738,116.288,77.762,116.871,0.825,0.889,0.843,0.857,0.852,0.866,0,0,0,0
0.852,2631,2631,2631,2631,266.218,447.281,267.66,448.099,267.388,448.419,266.55,447.061,0.915,0.81,0.832,0.862,0.852,0.821,0,0,0,0
0.852,4689,4689,4689,4689,444.077,440.935,444.077,440.935,444.077,440.935,444.077,440.935,0.889,0.833,0.835,0.861,0.852,0.834,0,0,0,0
0.852,198,198,198,198,324.641,109.758,315.855,110.469,309.757,130.358,304.418,125.699,0.868,0.812,0.875,0.84,0.852,0.843,2,2,2,2
0.852,5546,5546,5546,5546,207.605,40.693,207.144,39.887,207.033,34.241,203.709,20.337,0.934,0.846,0.777,0.89,0.852,0.812,0,0,0,0
0.852,3693,3693,3693,3693,322.033,403.508,323.02,400.336,323.737,396.434,325.951,395.677,0.882,0.848,0.826,0.865,0.852,0.837,0,0,0,0
0.852,1194,1194,1194,1194,84.831,274.428,76.451,281.267,83.632,283.802,89.421,280.054,0.853,0.847,0.857,0.85,0.852,0.852,0,0,0,0
0.851,1094,1094,1094,1094,362.533,99.649,362.697,102.089,360.916,98.007,358.289,101.387,0.882,0.893,0.777,0.888,0.851,0.835,0,0,0,0
0.851,2043,2043,2043,2043,465.243,338.41,466.19,342.519,467.594,344.609,467.629,344.639,0.824,0.847,0.882,0.835,0.851,0.865,0,0,0,0
0.851,3706,3706,3706,3706,483.161,483.209,483.161,483.209,483.161,483.209,483.161,483.209,0.88,0.816,0.857,0.848,0.851,0.836,0,0,0,0
0.851,5518,5518,5518,5518,24.11,149.881,23.92,149.605,23.87,149.215,24.212,144.277,0.965,0.826,0.762,0.895,0.851,0.794,0,0,0,0
0.851,4513,4513,4513,4513,376.859,32.275,376.859,32.275,376.686,33.639,376.443,34.012,0.883,0.787,0.882,0.835,0.851,0.834,0,0,0,0
0.851,471,471,471,471,67.378,267.364,68.873,271.938,75.797,269.668,76.395,267.051,0.839,0.818,0.896,0.829,0.851,0.857,0,0,0,0
0.851,5037,5037,5037,5037,354.926,461.129,354.374,459.583,354.374,459.583,354.374,459.583,0.881,0.82,0.852,0.85,0.851,0.836,0,0,0,0
0.85,5501,5501,5501,5501,99.13,45.883,100.364,37.806,95.686,31.69,90.715,29.693,0.915,0.868,0.768,0.891,0.85,0.818,0,0,0,0
0.85,2217,2217,2217,2217,79.554,402.547,79.431,402.534,74.495,401.044,73.149,400.605,0.883,0.837,0.831,0.86,0.85,0.834,2,2,2,2
0.85,3265,3265,3265,3265,417.643,360.855,415.996,360.93,415.801,360.879,416.107,360.989,0.782,0.852,0.915,0.817,0.85,0.884,0,0,0,0
