full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.728,210,210,210,210,46.99,356.942,49.248,352.24,51.186,347.488,55.795,345.564,0.65,0.665,0.868,0.657,0.728,0.767,0,0,0,0
0.691,211,211,211,211,76.22,165.998,66.3,176.646,62.902,171.406,61.516,168.606,0.689,0.663,0.723,0.676,0.691,0.693,0,0,0,0
0.602,212,212,212,212,99.914,289.842,101.379,294.201,115.497,295.548,124.09,290.975,0.649,0.5,0.657,0.575,0.602,0.579,0,0,0,0
0.693,213,213,213,213,43.833,263.255,47.18,256.048,42.462,264.15,41.548,268.149,0.681,0.678,0.718,0.68,0.693,0.698,0,0,0,0
0.586,214,214,214,214,418.625,109.715,418.179,110.721,419.942,98.899,422.948,96.442,0.575,0.721,0.461,0.648,0.586,0.591,0,0,0,0
0.663,215,215,215,215,298.408,378.704,298.63,382.442,290.79,383.224,284.532,381.816,0.684,0.677,0.628,0.681,0.663,0.652,0,0,0,0
0.658,216,216,216,216,272.809,167.677,278.528,134.35,278.478,112.197,270.816,84.971,0.689,0.698,0.588,0.693,0.658,0.643,0,0,0,0
0.695,217,217,217,217,394.005,178.598,397.631,171.763,390.726,181.707,382.159,187.58,0.769,0.473,0.844,0.621,0.695,0.658,0,0,0,0
0.607,218,218,218,218,425.37,235.12,426.508,236.181,428.537,239.364,432.141,236.673,0.537,0.639,0.644,0.588,0.607,0.641,0,0,0,0
0.776,219,219,219,219,371.998,292.623,372.833,300.681,377.784,292.575,384.469,290.205,0.733,0.806,0.788,0.77,0.776,0.797,0,0,0,0
0.79,220,220,220,220,442.688,29.336,442.301,31.242,439.064,27.923,437.917,27.829,0.837,0.739,0.794,0.788,0.79,0.767,1,1,1,1
0.733,221,221,221,221,465.538,367.073,464.768,367.75,464.097,367.744,464.097,367.745,0.709,0.649,0.84,0.679,0.733,0.744,0,0,0,0
0.729,222,222,222,222,326.855,66.141,325.095,73.208,323.772,72.869,324.708,61.943,0.628,0.802,0.756,0.715,0.729,0.779,1,1,1,1
0.798,223,223,223,223,444.528,86.173,436.886,84.758,438.61,81.536,435.297,84.837,0.796,0.827,0.772,0.812,0.798,0.8,0,0,0,0
0.727,224,224,224,224,438.163,88.78,430.367,88.889,423.172,83.997,418.196,86.03,0.78,0.626,0.775,0.703,0.727,0.701,0,0,0,0
0.679,225,225,225,225,355.646,72.391,359.265,76.143,368.42,76.35,372.018,65.522,0.733,0.666,0.637,0.699,0.679,0.651,0,0,0,0
0.67,226,226,226,226,304.246,413.474,304.616,412.018,306.093,410.448,304.613,409.832,0.596,0.732,0.683,0.664,0.67,0.707,0,0,0,0
0.543,227,2226,2226,2226,482.344,10.653,486.891,48.475,487.162,48.258,486.57,47.484,0.025,0.841,0.763,0.433,0.543,0.802,0,1,1,1
0.652,228,228,228,228,237.22,137.582,241.047,135.585,253.958,122.93,261.432,123.141,0.568,0.728,0.661,0.648,0.652,0.694,0,0,0,0
0.666,229,229,229,229,104.355,318.016,107.679,324.304,120.504,322.245,132.004,329.82,0.696,0.675,0.626,0.686,0.666,0.65,0,0,0,0
0.705,230,230,230,230,249.67,329.889,255.892,327.894,272.229,334.323,283.331,335.582,0.757,0.693,0.665,0.725,0.705,0.679,0,0,0,0
0.727,231,231,231,231,17.796,184.332,19.68,182.959,20.717,185.384,25.433,188.324,0.828,0.68,0.672,0.754,0.727,0.676,0,0,0,0
0.749,232,232,232,232,294.341,179.824,288.952,187.196,293.762,200.349,303.637,202.684,0.741,0.708,0.799,0.725,0.749,0.753,0,0,0,0
0.827,233,233,233,233,472.169,289.782,471.483,288.425,471.571,288.263,471.571,288.263,0.781,0.817,0.882,0.799,0.827,0.85,3,3,3,3
0.76,234,234,234,234,402.648,102.157,401.632,103.502,405.668,97.132,415.919,93.281,0.837,0.701,0.742,0.769,0.76,0.722,0,0,0,0
0.741,235,235,235,235,83.408,312.319,86.665,314.708,93.25,321.874,111.352,321.386,0.652,0.802,0.768,0.727,0.741,0.785,0,0,0,0
0.678,236,236,236,236,421.971,252.28,424.31,250.038,423.976,249.425,423.976,249.425,0.6,0.665,0.769,0.632,0.678,0.717,0,0,0,0
0.72,237,237,237,237,370.701,201.81,373.291,193.087,379.896,193.628,383.126,193.478,0.705,0.703,0.753,0.704,0.72,0.728,0,0,0,0
0.679,238,238,238,238,416.212,316.513,414.406,324.84,417.963,327.727,418.745,327.723,0.611,0.644,0.783,0.627,0.679,0.713,1,1,1,1
0.76,239,239,239,239,41.962,158.854,38.839,158.931,40.713,157.793,40.923,153.644,0.788,0.736,0.757,0.762,0.76,0.747,0,0,0,0
0.681,240,240,240,240,397.761,387.152,396.19,386.668,395.658,386.414,396.19,385.993,0.784,0.612,0.647,0.698,0.681,0.63,1,1,1,1
0.855,241,241,241,241,284.951,480.284,284.916,479.86,284.916,479.86,284.916,479.86,0.863,0.863,0.838,0.863,0.855,0.85,0,0,0,0
0.731,242,242,242,242,229.168,374.854,228.062,369.896,224.455,368.087,203.52,363.957,0.815,0.689,0.688,0.752,0.731,0.689,0,0,0,0
0.758,243,243,243,243,481.99,200.659,480.37,198.074,482.54,200.53,482.54,200.53,0.826,0.67,0.779,0.748,0.758,0.724,0,0,0,0
0.701,244,244,244,244,93.24,366.438,93.956,365.548,95.519,372.69,99.355,374.128,0.671,0.606,0.824,0.639,0.701,0.715,1,1,1,1
0.727,245,245,245,245,181.326,59.794,178.344,52.789,168.253,47.902,175.712,38.271,0.713,0.715,0.753,0.714,0.727,0.734,0,0,0,0
0.719,247,247,247,247,443.688,107.4,439.89,114.076,441.291,121.274,444.936,119.695,0.719,0.749,0.688,0.734,0.719,0.719,0,0,0,0
0.727,248,248,248,248,394.071,272.845,388.736,277.411,390.327,278.38,396.55,278.483,0.725,0.774,0.682,0.749,0.727,0.728,0,0,0,0
0.752,249,249,249,249,479.921,488.02,479.921,488.02,479.921,488.02,479.921,488.02,0.765,0.71,0.781,0.738,0.752,0.746,1,1,1,1
0.658,250,250,250,250,469.985,102.524,475.132,105.005,474.272,105.203,474.272,105.203,0.595,0.712,0.667,0.654,0.658,0.69,0,0,0,0
0.563,251,251,251,251,337.077,163.596,349.794,162.955,354.931,164.072,354.848,161.653,0.528,0.621,0.54,0.574,0.563,0.58,1,1,1,1
0.672,252,252,252,252,84.104,329.97,84.319,333.261,81.318,336.735,76.701,336.893,0.65,0.676,0.689,0.663,0.672,0.683,1,1,1,1
0.702,253,253,253,253,215.567,467.768,219.206,463.191,226.485,467.587,226.167,466.162,0.673,0.68,0.754,0.677,0.702,0.717,0,0,0,0
0.659,254,254,254,254,329.847,89.891,329.972,93.977,327.811,104.493,332.811,114.865,0.691,0.655,0.632,0.673,0.659,0.643,0,0,0,0
0.795,255,255,255,255,440.619,211.059,437.297,208.026,429.711,208.193,429.982,211.097,0.767,0.812,0.807,0.79,0.795,0.81,0,0,0,0
0.777,256,256,256,256,334.349,415.619,334.598,412.829,334.359,409.786,334.085,408.544,0.777,0.721,0.832,0.749,0.777,0.777,0,0,0,0
0.825,257,257,257,257,270.975,73.238,271.7,74.31,268.154,72.142,265.378,71.242,0.856,0.901,0.719,0.879,0.825,0.81,0,0,0,0
0.628,258,258,258,258,370.8,241.127,368.809,243.984,371.176,247.584,379.714,251.965,0.684,0.72,0.481,0.702,0.628,0.6,0,0,0,0
0.774,259,259,259,259,328.674,434.015,329.761,432.14,330.363,431.112,330.576,431.069,0.718,0.797,0.806,0.758,0.774,0.802,0,0,0,0
0.469,260,260,260,260,61.733,173.357,57.154,195.553,44.476,202.886,38.352,204.687,0.546,0.407,0.453,0.477,0.469,0.43,0,0,0,0
0.753,262,262,262,262,434.128,206.299,432.612,202.77,424.349,194.41,425.409,196.275,0.732,0.717,0.809,0.725,0.753,0.763,0,0,0,0
0.725,263,263,263,263,318.74,148.99,312.174,150.769,303.159,134.988,292.356,134.158,0.671,0.735,0.769,0.703,0.725,0.752,0,0,0,0
0.738,264,264,264,264,399.521,15.888,399.521,15.888,399.56,15.883,399.56,15.883,0.672,0.755,0.786,0.714,0.738,0.771,0,0,0,0
0.746,265,265,265,265,390.115,446.757,389.171,445.634,389.171,445.634,389.171,445.634,0.797,0.772,0.67,0.785,0.746,0.721,0,0,0,0
0.577,266,266,266,266,323.278,166.129,329.174,165.567,329.311,165.903,339.002,158.757,0.56,0.577,0.593,0.568,0.577,0.585,0,0,0,0
0.72,267,267,267,267,52.372,32.016,52.41,29.637,51.227,29.545,50.671,30.37,0.766,0.661,0.734,0.713,0.72,0.697,0,0,0,0
0.725,268,268,268,268,419.923,272.898,424.318,273.788,424.976,273.421,426.789,275.241,0.725,0.661,0.79,0.693,0.725,0.726,0,0,0,0
0.778,269,269,269,269,418.233,321.943,419.107,328.227,423.454,325.859,424.144,325.606,0.714,0.817,0.804,0.765,0.778,0.811,0,0,0,0
0.597,270,270,270,270,217.249,153.214,209.8,146.915,226.307,117.972,248.435,100.954,0.677,0.592,0.521,0.634,0.597,0.556,0,0,0,0
0.671,272,272,272,272,66.327,72.862,59.21,75.31,56.34,73.86,55.889,72.924,0.55,0.755,0.709,0.652,0.671,0.732,0,0,0,0
0.585,273,273,273,273,279.811,15.112,278.216,13.945,278.204,13.599,280.056,12.414,0.542,0.61,0.602,0.576,0.585,0.606,0,0,0,0
